road,way_id,seq,lat,lon,average_green
Fields Park Avenue,30790135,1,51.587438,-3.014831,0.420668
Stow Hill,30791272,1,51.582768,-3.005296,0.017832
Havelock Street,30791281,1,51.585553,-2.997015,0.0171595
Stow Park Avenue,30791284,1,51.579464,-3.004114,0.385012
Clifton Road,30791291,1,51.58278,-3.000387,0.028093
Mountjoy Place,30791364,1,51.580783,-2.993432,0.0202525
Belle Vue Lane,30791396,1,51.582599,-3.000711,0.0344995
Waterloo Road,30791407,1,51.579288,-3.00411,0.407151
Traston Road,30791673,1,51.566539,-2.969641,0.2189695
Caerleon Road,30953832,1,51.603249,-2.979036,0.163142
Reservoir Close,32998419,1,51.585393,-3.043672,0.1808205
Reservoir Close,32998526,1,51.585693,-3.044041,0.305984
Granville Close,32998655,1,51.58534,-3.040442,0.0851695
Granville Close,32998667,1,51.584607,-3.039403,0.260063
Wern Terrace,32999569,1,51.591613,-3.059588,0.119232
The Uplands,32999609,1,51.5919,-3.059593,0.138745
The Uplands,32999926,1,51.5941,-3.057137,0.239314
Rivermead Way,33000304,1,51.59564,-3.073583,0.213578
Rivermead Way,33000330,1,51.59503,-3.070154,0.068784
Lily Way,33000363,1,51.595154,-3.067709,0.11277
Fuscia Way,33000389,1,51.594838,-3.070388,0.163723
Oak Tree Drive,33000435,1,51.59523,-3.070412,0.174252
Cedar Wood Drive,33000714,1,51.598243,-3.071266,0.337253
Thornhill Way,33056904,1,51.59551,-3.063925,0.0541525
Park Avenue,33056963,1,51.591447,-3.05982,0.08725
Court Gardens,33057142,1,51.593839,-3.061978,0.091002
Church Street,33057164,1,51.590791,-3.060085,0.086836
Narcissus Grove,33057186,1,51.593012,-3.065433,0.0609605
Narcissus Grove,33057203,1,51.593106,-3.064752,0.1146925
Broom Close,33057335,1,51.593822,-3.066889,0.251348
Rivermead Way,33057365,1,51.595411,-3.067657,0.199337
Acorn Close,33057403,1,51.594937,-3.056789,0.2510815
Pontymason Close,33057502,1,51.596431,-3.063582,0.079109
Great Oaks Park,33057531,1,51.596026,-3.060003,0.1849365
Pontymason Court,33057660,1,51.596693,-3.063069,0.1316085
Acorn Close,33057711,1,51.595249,-3.056007,0.179752
Fairway Close,33057798,1,51.598525,-3.052716,0.1217235
Mountford Close,33057805,1,51.598422,-3.051508,0.315857
Croesllanfro Gardens,33057837,1,51.598169,-3.049168,0.3536045
Myrtle Drive,33058081,1,51.582723,-3.045684,0.4095315
Veronica Close,33058106,1,51.58082,-3.041645,0.128459
Hydrangea Close,33058272,1,51.580125,-3.042259,0.2652915
Tregwilym Road,33058430,1,51.584864,-3.053702,0.2875635
Tone Close,33064159,1,51.612997,-3.029884,0.057013
Tone Road,33064214,1,51.61126,-3.031648,0.006085
Monnow Walk,33064224,1,51.611363,-3.034503,0.0459815
Clist Road,33064250,1,51.610497,-3.037789,0.0272375
Welland Circle,33064283,1,51.61018,-3.037947,0.0524915
Derwent Court,33064291,1,51.608776,-3.03615,0.0790725
Monnow Walk,33064308,1,51.609012,-3.036029,0.0546985
Darent Close,33064334,1,51.608301,-3.035793,0.048348
Darent Road,33064338,1,51.607743,-3.035489,0.0331125
Helford Square,33064342,1,51.611831,-3.033595,0.1236625
Humber Road,33064365,1,51.608217,-3.028383,0.087588
Humber Close,33064368,1,51.607835,-3.025675,0.0692395
Yeo Road,33064411,1,51.608016,-3.026161,0.169252
Yeo Close,33064445,1,51.607847,-3.026536,0.1116165
Crouch Close,33064480,1,51.606698,-3.030924,0.1256895
Rother Close,33064688,1,51.613583,-3.031503,0.0668065
Weare Close,33065077,1,51.612791,-3.035001,0.1079295
Medway Close,33065140,1,51.614227,-3.032772,0.0926355
Lea Close,33127153,1,51.609273,-3.029662,0.334602
Blackwater Close,33127169,1,51.61048,-3.027737,0.318585
Elan Close,33127183,1,51.608605,-3.021844,0.145898
Dart Road,33127195,1,51.608478,-3.023319,0.1187265
